epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,827.534,1.17229,0.54392,0.89959,0.85974,1,0.995,0.59654,1.38824,0.58388,0.87337,0.000519613,0.000519613,0.000519613
57,842.364,1.14927,0.53893,0.89947,0.9699,1,0.995,0.58712,1.4461,0.53689,0.87967,0.000516079,0.000516079,0.000516079
58,857.148,1.14995,0.54394,0.89333,0.96418,1,0.995,0.59025,1.4435,0.53093,0.88689,0.000512545,0.000512545,0.000512545
59,871.859,1.13939,0.52497,0.89461,0.96923,0.99791,0.995,0.61174,1.39081,0.5405,0.87579,0.000509011,0.000509011,0.000509011
60,886.554,1.13509,0.53183,0.89679,0.95672,1,0.995,0.56928,1.4632,0.55832,0.88523,0.000505476,0.000505476,0.000505476
61,901.401,1.14407,0.53313,0.89352,0.95523,1,0.995,0.57832,1.44572,0.5018,0.8882,0.000501942,0.000501942,0.000501942
62,916.046,1.1323,0.5235,0.89365,0.98062,1,0.995,0.60769,1.40537,0.53392,0.88223,0.000498408,0.000498408,0.000498408
63,930.512,1.13937,0.52498,0.90065,0.95634,1,0.995,0.6214,1.40811,0.51538,0.87298,0.000494873,0.000494873,0.000494873
64,945.03,1.1306,0.52297,0.89291,0.96594,0.99764,0.995,0.6073,1.42381,0.54612,0.87568,0.000491339,0.000491339,0.000491339
65,959.626,1.12976,0.5268,0.89373,0.96496,1,0.995,0.61972,1.41684,0.47915,0.87344,0.000487805,0.000487805,0.000487805
66,974.181,1.13728,0.52871,0.89431,0.90672,1,0.995,0.55186,1.47567,0.59002,0.89159,0.000484271,0.000484271,0.000484271
67,988.724,1.12842,0.52687,0.88704,0.95391,1,0.995,0.6061,1.42246,0.54912,0.88043,0.000480736,0.000480736,0.000480736
68,1003.4,1.14063,0.51716,0.89626,0.94562,0.99878,0.995,0.61927,1.4169,0.54367,0.87497,0.000477202,0.000477202,0.000477202
69,1018.03,1.12523,0.51155,0.89591,0.97462,0.98792,0.995,0.61712,1.42534,0.50407,0.8735,0.000473668,0.000473668,0.000473668
70,1032.79,1.1367,0.51704,0.89442,0.95613,1,0.995,0.60513,1.41487,0.52968,0.87933,0.000470133,0.000470133,0.000470133
71,1047.62,1.13541,0.52138,0.8901,0.93725,0.99996,0.995,0.5836,1.4227,0.54847,0.87936,0.000466599,0.000466599,0.000466599
72,1062.25,1.13683,0.51667,0.89119,0.97434,1,0.995,0.57566,1.41827,0.53485,0.88564,0.000463065,0.000463065,0.000463065
73,1076.99,1.1375,0.5152,0.89493,0.91053,1,0.995,0.61286,1.42377,0.53711,0.88021,0.00045953,0.00045953,0.00045953
74,1091.84,1.13189,0.5099,0.89489,0.95281,1,0.995,0.60165,1.43604,0.53245,0.87675,0.000455996,0.000455996,0.000455996
75,1106.49,1.11684,0.51331,0.88877,0.97886,1,0.995,0.56557,1.44867,0.55459,0.88314,0.000452462,0.000452462,0.000452462
76,1121.01,1.12761,0.50591,0.89224,0.96717,1,0.995,0.60492,1.42803,0.51067,0.8779,0.000448928,0.000448928,0.000448928
77,1135.62,1.13474,0.50752,0.89254,0.97642,0.99974,0.995,0.60368,1.40451,0.51196,0.87295,0.000445393,0.000445393,0.000445393
78,1150.18,1.11323,0.50409,0.88951,0.94542,1,0.995,0.58297,1.43289,0.52141,0.87942,0.000441859,0.000441859,0.000441859
79,1164.79,1.13351,0.50896,0.89739,0.95752,1,0.995,0.60318,1.40239,0.52572,0.87432,0.000438325,0.000438325,0.000438325
80,1179.56,1.11633,0.50277,0.89193,0.95098,1,0.995,0.61566,1.43122,0.51979,0.88429,0.00043479,0.00043479,0.00043479
81,1194.12,1.10966,0.49946,0.88319,0.95438,1,0.995,0.59372,1.43286,0.50033,0.87882,0.000431256,0.000431256,0.000431256
82,1208.68,1.11751,0.49812,0.89115,0.96403,1,0.995,0.59497,1.44813,0.51391,0.8785,0.000427722,0.000427722,0.000427722
83,1223.21,1.09799,0.49218,0.88735,0.97377,1,0.995,0.60166,1.44049,0.52774,0.88227,0.000424187,0.000424187,0.000424187
84,1237.83,1.12983,0.50279,0.89237,0.97826,1,0.995,0.59076,1.43464,0.52871,0.88282,0.000420653,0.000420653,0.000420653
85,1252.43,1.12002,0.49963,0.89114,0.96936,1,0.995,0.59975,1.39762,0.50503,0.87732,0.000417119,0.000417119,0.000417119
86,1267.06,1.11683,0.49594,0.89087,0.97085,1,0.995,0.59829,1.39558,0.48935,0.87557,0.000413584,0.000413584,0.000413584
87,1281.61,1.09178,0.4922,0.89274,0.97801,1,0.995,0.59743,1.40787,0.50213,0.8761,0.00041005,0.00041005,0.00041005
88,1296.19,1.10508,0.49376,0.89124,0.97789,1,0.995,0.59788,1.4176,0.49378,0.88048,0.000406516,0.000406516,0.000406516
89,1310.81,1.10749,0.48684,0.88723,0.96948,1,0.995,0.59471,1.40944,0.49458,0.87456,0.000402982,0.000402982,0.000402982
90,1325.29,1.10297,0.49095,0.88971,0.98187,1,0.995,0.5909,1.45219,0.51969,0.87964,0.000399447,0.000399447,0.000399447
91,1339.88,1.11213,0.49062,0.88882,0.98178,1,0.995,0.59939,1.41996,0.50927,0.87913,0.000395913,0.000395913,0.000395913
92,1354.71,1.10198,0.48072,0.88175,0.98064,1,0.995,0.59753,1.43092,0.49742,0.87445,0.000392379,0.000392379,0.000392379
93,1369.31,1.09696,0.48736,0.8871,0.94818,1,0.995,0.59544,1.43495,0.50168,0.87604,0.000388844,0.000388844,0.000388844
94,1383.89,1.08749,0.48238,0.88404,0.93149,1,0.995,0.61184,1.43462,0.51485,0.87659,0.00038531,0.00038531,0.00038531
95,1398.5,1.0921,0.48726,0.88701,0.94672,1,0.995,0.61005,1.44208,0.50946,0.87903,0.000381776,0.000381776,0.000381776
96,1413.46,1.09941,0.48159,0.88794,0.9843,1,0.995,0.60809,1.4312,0.51705,0.87996,0.000378242,0.000378242,0.000378242
97,1428.01,1.09529,0.48427,0.88416,0.97685,1,0.995,0.60709,1.41558,0.49613,0.87698,0.000374707,0.000374707,0.000374707
98,1442.84,1.10038,0.48299,0.88951,0.979,1,0.995,0.59958,1.4147,0.48482,0.87513,0.000371173,0.000371173,0.000371173
99,1457.59,1.10656,0.49173,0.88783,0.97856,1,0.995,0.60558,1.42514,0.50545,0.88038,0.000367639,0.000367639,0.000367639
100,1472.43,1.09308,0.48157,0.88356,0.98491,1,0.995,0.63128,1.39594,0.48289,0.86991,0.000364104,0.000364104,0.000364104
101,1487.09,1.09615,0.48126,0.88091,0.98621,1,0.995,0.61911,1.40178,0.50966,0.86951,0.00036057,0.00036057,0.00036057
102,1501.66,1.08801,0.48116,0.87708,0.98655,1,0.995,0.61844,1.42974,0.51484,0.87507,0.000357036,0.000357036,0.000357036
103,1515.45,1.10086,0.48082,0.88491,0.98403,1,0.995,0.6043,1.3839,0.47786,0.86752,0.000353501,0.000353501,0.000353501
104,1529.31,1.08628,0.4836,0.88558,0.9808,1,0.995,0.6183,1.4204,0.48942,0.87225,0.000349967,0.000349967,0.000349967
105,1544.02,1.09443,0.48715,0.88401,0.98441,1,0.995,0.6223,1.41329,0.49512,0.87171,0.000346433,0.000346433,0.000346433
106,1558.78,1.08456,0.48242,0.88596,0.97904,1,0.995,0.63734,1.39471,0.50915,0.86853,0.000342899,0.000342899,0.000342899
107,1573.46,1.07773,0.47724,0.88065,0.97513,1,0.995,0.62067,1.38595,0.48786,0.86739,0.000339364,0.000339364,0.000339364
108,1588.01,1.09187,0.47523,0.88516,0.9798,1,0.995,0.62243,1.40548,0.47987,0.87499,0.00033583,0.00033583,0.00033583
109,1602.62,1.0811,0.47929,0.88142,0.97898,1,0.995,0.61798,1.39279,0.48636,0.87114,0.000332296,0.000332296,0.000332296
110,1617.31,1.08675,0.47804,0.8844,0.97708,1,0.995,0.60146,1.39697,0.484,0.87319,0.000328761,0.000328761,0.000328761
111,1632.1,1.09111,0.47892,0.88284,0.98219,1,0.995,0.59846,1.40778,0.50357,0.87404,0.000325227,0.000325227,0.000325227
112,1646.8,1.07922,0.46676,0.88524,0.97827,1,0.995,0.58991,1.42463,0.48775,0.87698,0.000321693,0.000321693,0.000321693
113,1661.5,1.08386,0.47207,0.88716,0.96948,1,0.995,0.61464,1.42777,0.51953,0.8817,0.000318158,0.000318158,0.000318158
114,1676.01,1.07676,0.46633,0.88195,0.9721,1,0.995,0.61575,1.40051,0.50251,0.86795,0.000314624,0.000314624,0.000314624
115,1690.5,1.08192,0.47148,0.88513,0.97675,1,0.995,0.60378,1.39635,0.5007,0.87338,0.00031109,0.00031109,0.00031109
116,1705.2,1.07026,0.46686,0.88161,0.9842,1,0.995,0.61999,1.3999,0.5083,0.87306,0.000307555,0.000307555,0.000307555
117,1719.86,1.08151,0.47209,0.88081,0.98296,1,0.995,0.61412,1.43906,0.50487,0.875,0.000304021,0.000304021,0.000304021
118,1734.35,1.08247,0.46573,0.88407,0.96759,1,0.995,0.61256,1.4091,0.50971,0.87105,0.000300487,0.000300487,0.000300487
119,1749.04,1.07816,0.46758,0.88181,0.97645,1,0.995,0.60139,1.38681,0.49198,0.86667,0.000296953,0.000296953,0.000296953
120,1763.61,1.04691,0.46171,0.88013,0.97365,1,0.995,0.6081,1.41865,0.4934,0.87025,0.000293418,0.000293418,0.000293418
121,1778.25,1.06566,0.46395,0.87662,0.97262,1,0.995,0.60748,1.43873,0.4975,0.87253,0.000289884,0.000289884,0.000289884
122,1792.95,1.07028,0.47054,0.88146,0.97501,1,0.995,0.62493,1.40476,0.49659,0.86698,0.00028635,0.00028635,0.00028635
123,1807.67,1.07,0.46168,0.8761,0.97701,0.9949,0.995,0.5992,1.45272,0.52035,0.88709,0.000282815,0.000282815,0.000282815
124,1822.39,1.07246,0.46623,0.87974,0.97638,0.98893,0.995,0.61786,1.41047,0.5093,0.86902,0.000279281,0.000279281,0.000279281
125,1836.99,1.0683,0.46321,0.88296,0.97024,1,0.995,0.63268,1.41557,0.50884,0.87268,0.000275747,0.000275747,0.000275747
126,1851.62,1.07242,0.47035,0.88411,0.98358,1,0.995,0.60169,1.43125,0.49815,0.87613,0.000272212,0.000272212,0.000272212
127,1866.13,1.05487,0.45771,0.87779,0.97441,1,0.995,0.58719,1.41328,0.50036,0.88025,0.000268678,0.000268678,0.000268678
128,1880.64,1.05462,0.46024,0.87687,0.98038,1,0.995,0.61401,1.41038,0.49465,0.87832,0.000265144,0.000265144,0.000265144
129,1895.35,1.06958,0.45583,0.87821,0.97707,0.99947,0.995,0.5967,1.42348,0.50233,0.87432,0.00026161,0.00026161,0.00026161
130,1910,1.05329,0.45617,0.8774,0.97726,1,0.995,0.62424,1.40319,0.49458,0.87249,0.000258075,0.000258075,0.000258075
131,1923.95,1.05174,0.45492,0.87839,0.96369,1,0.995,0.63994,1.41378,0.51435,0.87813,0.000254541,0.000254541,0.000254541
132,1938.85,1.04736,0.45216,0.87435,0.98064,0.98624,0.995,0.59437,1.47149,0.49813,0.88221,0.000251007,0.000251007,0.000251007
133,1953.68,1.06167,0.45541,0.88089,0.98077,0.9925,0.995,0.60074,1.45767,0.50095,0.8836,0.000247472,0.000247472,0.000247472
134,1968.69,1.05843,0.45557,0.87984,0.97797,1,0.995,0.59713,1.39965,0.50128,0.87047,0.000243938,0.000243938,0.000243938
135,1984.37,1.05774,0.45598,0.87386,0.97946,1,0.995,0.60472,1.40779,0.48809,0.87502,0.000240404,0.000240404,0.000240404
136,1998.7,1.05562,0.46674,0.87398,0.9772,1,0.995,0.60641,1.40171,0.49088,0.87284,0.000236869,0.000236869,0.000236869
137,2013.89,1.06174,0.45555,0.87387,0.98199,1,0.995,0.61422,1.38703,0.4868,0.86821,0.000233335,0.000233335,0.000233335
138,2028.04,1.05584,0.45622,0.87472,0.97807,1,0.995,0.60472,1.40127,0.48477,0.87566,0.000229801,0.000229801,0.000229801
139,2043.36,1.04076,0.44801,0.8762,0.97917,1,0.995,0.58752,1.41981,0.48927,0.87519,0.000226267,0.000226267,0.000226267
140,2058.19,1.04865,0.44915,0.87542,0.98244,1,0.995,0.605,1.38465,0.48814,0.87137,0.000222732,0.000222732,0.000222732
141,2073.17,1.03763,0.45213,0.87203,0.97927,1,0.995,0.6202,1.39001,0.47673,0.86923,0.000219198,0.000219198,0.000219198
