epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1781.83,1.04255,0.43896,0.87587,0.98739,1,0.995,0.63437,1.38061,0.45712,0.86796,0.000346433,0.000346433,0.000346433
106,1798.98,1.03426,0.43449,0.8769,0.99025,1,0.995,0.64577,1.38556,0.45857,0.86879,0.000342899,0.000342899,0.000342899
107,1816.03,1.02709,0.4344,0.87184,0.99259,1,0.995,0.64049,1.38573,0.46309,0.86986,0.000339364,0.000339364,0.000339364
108,1833.23,1.03637,0.43472,0.87534,0.99076,1,0.995,0.64325,1.3952,0.45743,0.87351,0.00033583,0.00033583,0.00033583
109,1850.29,1.03358,0.43864,0.87267,0.98168,1,0.995,0.64702,1.37918,0.47403,0.87187,0.000332296,0.000332296,0.000332296
110,1867.26,1.02625,0.4337,0.87345,0.98496,1,0.995,0.63197,1.38163,0.45423,0.86589,0.000328761,0.000328761,0.000328761
111,1884.09,1.03788,0.4376,0.87201,0.99221,1,0.995,0.61846,1.37593,0.48014,0.86903,0.000325227,0.000325227,0.000325227
112,1901.17,1.01618,0.42458,0.87371,0.98891,0.99596,0.995,0.63754,1.37336,0.46917,0.86617,0.000321693,0.000321693,0.000321693
113,1918.1,1.02035,0.42729,0.87645,0.9861,1,0.995,0.61228,1.3967,0.47601,0.8762,0.000318158,0.000318158,0.000318158
114,1934.95,1.03091,0.42729,0.87309,0.98748,1,0.995,0.62887,1.40352,0.45174,0.86993,0.000314624,0.000314624,0.000314624
115,1951.57,1.03009,0.43016,0.87543,0.97803,1,0.995,0.62641,1.40342,0.48818,0.87304,0.00031109,0.00031109,0.00031109
116,1968.55,1.01386,0.42237,0.87065,0.9955,1,0.995,0.64567,1.37066,0.4499,0.86583,0.000307555,0.000307555,0.000307555
117,1985.46,1.02387,0.42876,0.87031,0.98984,1,0.995,0.63703,1.37765,0.46785,0.86849,0.000304021,0.000304021,0.000304021
118,2002.63,1.02007,0.42422,0.87357,0.98354,1,0.995,0.64146,1.38599,0.4726,0.86846,0.000300487,0.000300487,0.000300487
119,2019.68,1.0167,0.42372,0.87069,0.99246,1,0.995,0.64011,1.38822,0.46653,0.86625,0.000296953,0.000296953,0.000296953
120,2036.74,0.98762,0.41737,0.86891,0.99145,1,0.995,0.61919,1.40154,0.45448,0.86712,0.000293418,0.000293418,0.000293418
121,2053.82,1.01224,0.42284,0.86723,0.99249,1,0.995,0.61212,1.41123,0.47473,0.87621,0.000289884,0.000289884,0.000289884
122,2070.79,1.0092,0.4272,0.87022,0.98365,1,0.995,0.62212,1.39143,0.4614,0.86992,0.00028635,0.00028635,0.00028635
123,2087.82,1.00951,0.42113,0.86538,0.98208,0.9992,0.995,0.61504,1.41335,0.47211,0.87753,0.000282815,0.000282815,0.000282815
124,2104.75,1.01476,0.42733,0.87022,0.99077,1,0.995,0.61665,1.4024,0.47429,0.87017,0.000279281,0.000279281,0.000279281
125,2121.86,1.00882,0.42241,0.87156,0.9824,1,0.995,0.63125,1.3967,0.47438,0.86958,0.000275747,0.000275747,0.000275747
126,2138.88,1.0094,0.42764,0.8741,0.98665,1,0.995,0.606,1.39471,0.48504,0.87348,0.000272212,0.000272212,0.000272212
127,2155.78,0.99002,0.41773,0.86577,0.98322,1,0.995,0.61522,1.4003,0.47241,0.87392,0.000268678,0.000268678,0.000268678
128,2172.69,0.98671,0.41525,0.86493,0.98762,1,0.995,0.63773,1.38882,0.46545,0.86917,0.000265144,0.000265144,0.000265144
129,2189.87,1.01081,0.41354,0.86731,0.9815,1,0.995,0.6248,1.40564,0.47283,0.87469,0.00026161,0.00026161,0.00026161
130,2206.95,0.98543,0.41625,0.86556,0.98689,1,0.995,0.62816,1.40931,0.47844,0.87342,0.000258075,0.000258075,0.000258075
131,2223.97,0.98998,0.41626,0.86725,0.98276,0.99183,0.995,0.6229,1.39617,0.47456,0.87328,0.000254541,0.000254541,0.000254541
132,2240.91,0.98261,0.40998,0.86332,0.98842,1,0.995,0.63156,1.42489,0.47167,0.87509,0.000251007,0.000251007,0.000251007
133,2257.88,0.99298,0.41226,0.86819,0.97576,0.98936,0.995,0.63255,1.40108,0.47517,0.87517,0.000247472,0.000247472,0.000247472
134,2274.8,0.98383,0.40893,0.86649,0.98456,1,0.995,0.62772,1.3904,0.46665,0.8711,0.000243938,0.000243938,0.000243938
135,2291.72,1.0015,0.41483,0.86374,0.98638,1,0.995,0.62614,1.37691,0.46157,0.8704,0.000240404,0.000240404,0.000240404
136,2308.62,0.98896,0.42164,0.86252,0.97977,1,0.995,0.61,1.38513,0.45417,0.87233,0.000236869,0.000236869,0.000236869
